好的，請看這份音檔的繁體中文逐字稿：

[0:0] 歡迎收聽股癌，我是夢公。
[49:27] 那下面一位，Ran G，今天五月電腦展有看初步跟前兩年比較起來，從之前的GPU32方案，今年大部分攤位都很多CPU跟800V的機櫃方案。
[49:36] 比起CPU感覺800V這一塊，美股反應的還沒有很多，是否可以期待下半年有機會往800V去反應？
[49:43] 那以及主要在800V有特別看好的美股企業嗎？
[49:46] 像是Navitas，Wolfspeed，然後跟STM，可以啊，其實可以，但是我覺得可能這個比較難去處理啦。
[49:55] 因為我們現在可能很習慣，我覺得是因為過去的慣性，就是我知道說可能國際組群在動什麼，然後我們台灣的去找對應的。
[50:3] 你知道像記憶體或是被動元件，其實都成立嘛，就會賺錢。
[50:6] 那只是像是在功率元件，台灣在噴的時候美股是沒有噴的。
[50:10] 然後美股在更前面它在噴的時候，台灣是沒有動的。
[50:14] 那後面會怎麼樣？老實講不知道，我們只知道說，就像你講的這些Power Related的東西，它在市場上的表現都很好。
[50:20] 就是我們可以確定的是營收獲利會好，但是我們不確定是市場會不會動。
[50:25] 所以我如果要給你一個小建議的話，我會覺得你把它拉一包，然後相關的族群都拉一包。
[50:31] 當有一天你注意到他們都集體在噴什麼5%8%10%的時候，那時候再來開要不要介入，我覺得我會這樣子抓啦。
[50:37] 就是因為現在市場上嚴格上來說題材真的太多了，但你有耐心要用蹲的沒有問題。
[50:42] 那只是如果是想要去像你像你講嘛，你已經有感覺某個東西了，你看到他們集體去表態的時候，一般那時候上去可能效率會稍微好一點啦。50:50] 不然你蹲真的不知道蹲到什麼時候，嗯，因為現在的選項很多，那資金呢，感覺有在收手，所以不確定會不會有一些東西可能後面就不漲了，它就那邊橫到死。
[51:1] 所以要稍微的考量一下，但其實也沒差啦，反正就進去蹲，然後不會動一段時間之後你發現說沒有意思，你自己就會走了。
[51:7] 那這邊Bye Bye。
